,game_id,home_team,away_team,home_score,away_score,week
6706,2024_01_BAL_KC,KC,BAL,27,20,1
6707,2024_01_GB_PHI,PHI,GB,34,29,1
6708,2024_01_PIT_ATL,ATL,PIT,10,18,1
6709,2024_01_ARI_BUF,BUF,ARI,34,28,1
6710,2024_01_TEN_CHI,CHI,TEN,24,17,1
6711,2024_01_NE_CIN,CIN,NE,10,16,1
6712,2024_01_HOU_IND,IND,HOU,27,29,1
6713,2024_01_JAX_MIA,MIA,JAX,20,17,1
6714,2024_01_CAR_NO,NO,CAR,47,10,1
6715,2024_01_MIN_NYG,NYG,MIN,6,28,1
6716,2024_01_LV_LAC,LAC,LV,22,10,1
6717,2024_01_DEN_SEA,SEA,DEN,26,20,1
6718,2024_01_DAL_CLE,CLE,DAL,17,33,1
6719,2024_01_WAS_TB,TB,WAS,37,20,1
6720,2024_01_LA_DET,DET,LA,26,20,1
6721,2024_01_NYJ_SF,SF,NYJ,32,19,1
6722,2024_02_BUF_MIA,MIA,BUF,10,31,2
6723,2024_02_LV_BAL,BAL,LV,23,26,2
6724,2024_02_LAC_CAR,CAR,LAC,3,26,2
6725,2024_02_NO_DAL,DAL,NO,19,44,2
6726,2024_02_TB_DET,DET,TB,16,20,2
6727,2024_02_IND_GB,GB,IND,16,10,2
6728,2024_02_CLE_JAX,JAX,CLE,13,18,2
6729,2024_02_SF_MIN,MIN,SF,23,17,2
6730,2024_02_SEA_NE,NE,SEA,20,23,2
6731,2024_02_NYJ_TEN,TEN,NYJ,17,24,2
6732,2024_02_NYG_WAS,WAS,NYG,21,18,2
6733,2024_02_LA_ARI,ARI,LA,41,10,2
6734,2024_02_PIT_DEN,DEN,PIT,6,13,2
6735,2024_02_CIN_KC,KC,CIN,26,25,2
6736,2024_02_CHI_HOU,HOU,CHI,19,13,2
6737,2024_02_ATL_PHI,PHI,ATL,21,22,2
6738,2024_03_NE_NYJ,NYJ,NE,24,3,3
6739,2024_03_NYG_CLE,CLE,NYG,15,21,3
6740,2024_03_CHI_IND,IND,CHI,21,16,3
6741,2024_03_HOU_MIN,MIN,HOU,34,7,3
6742,2024_03_PHI_NO,NO,PHI,12,15,3
6743,2024_03_LAC_PIT,PIT,LAC,20,10,3
6744,2024_03_DEN_TB,TB,DEN,7,26,3
6745,2024_03_GB_TEN,TEN,GB,14,30,3
6746,2024_03_CAR_LV,LV,CAR,22,36,3
6747,2024_03_MIA_SEA,SEA,MIA,24,3,3
6748,2024_03_DET_ARI,ARI,DET,13,20,3
6749,2024_03_BAL_DAL,DAL,BAL,25,28,3
6750,2024_03_SF_LA,LA,SF,27,24,3
6751,2024_03_KC_ATL,ATL,KC,17,22,3
6752,2024_03_JAX_BUF,BUF,JAX,47,10,3
6753,2024_03_WAS_CIN,CIN,WAS,33,38,3
6754,2024_04_DAL_NYG,NYG,DAL,15,20,4
6755,2024_04_NO_ATL,ATL,NO,26,24,4
6756,2024_04_CIN_CAR,CAR,CIN,24,34,4
6757,2024_04_LA_CHI,CHI,LA,24,18,4
6758,2024_04_MIN_GB,GB,MIN,29,31,4
6759,2024_04_JAX_HOU,HOU,JAX,24,20,4
6760,2024_04_PIT_IND,IND,PIT,27,24,4
6761,2024_04_DEN_NYJ,NYJ,DEN,9,10,4
6762,2024_04_PHI_TB,TB,PHI,33,16,4
6763,2024_04_WAS_ARI,ARI,WAS,14,42,4
6764,2024_04_NE_SF,SF,NE,30,13,4
6765,2024_04_KC_LAC,LAC,KC,10,17,4
6766,2024_04_CLE_LV,LV,CLE,20,16,4
6767,2024_04_BUF_BAL,BAL,BUF,35,10,4
6768,2024_04_TEN_MIA,MIA,TEN,12,31,4
6769,2024_04_SEA_DET,DET,SEA,42,29,4
6770,2024_05_TB_ATL,ATL,TB,36,30,5
6771,2024_05_NYJ_MIN,MIN,NYJ,23,17,5
6772,2024_05_CAR_CHI,CHI,CAR,36,10,5
6773,2024_05_BAL_CIN,CIN,BAL,38,41,5
6774,2024_05_BUF_HOU,HOU,BUF,23,20,5
6775,2024_05_IND_JAX,JAX,IND,37,34,5
6776,2024_05_MIA_NE,NE,MIA,10,15,5
6777,2024_05_CLE_WAS,WAS,CLE,34,13,5
6778,2024_05_LV_DEN,DEN,LV,34,18,5
6779,2024_05_ARI_SF,SF,ARI,23,24,5
6780,2024_05_GB_LA,LA,GB,19,24,5
6781,2024_05_NYG_SEA,SEA,NYG,20,29,5
6782,2024_05_DAL_PIT,PIT,DAL,17,20,5
6783,2024_05_NO_KC,KC,NO,26,13,5
6784,2024_06_SF_SEA,SEA,SF,24,36,6
6785,2024_06_JAX_CHI,CHI,JAX,35,16,6
6786,2024_06_WAS_BAL,BAL,WAS,30,23,6
6787,2024_06_ARI_GB,GB,ARI,34,13,6
6788,2024_06_HOU_NE,NE,HOU,21,41,6
6789,2024_06_TB_NO,NO,TB,27,51,6
6790,2024_06_CLE_PHI,PHI,CLE,20,16,6
6791,2024_06_IND_TEN,TEN,IND,17,20,6
6792,2024_06_LAC_DEN,DEN,LAC,16,23,6
6793,2024_06_PIT_LV,LV,PIT,13,32,6
6794,2024_06_ATL_CAR,CAR,ATL,20,38,6
6795,2024_06_DET_DAL,DAL,DET,9,47,6
6796,2024_06_CIN_NYG,NYG,CIN,7,17,6
6797,2024_06_BUF_NYJ,NYJ,BUF,20,23,6
6798,2024_07_DEN_NO,NO,DEN,10,33,7
6799,2024_07_NE_JAX,JAX,NE,32,16,7
6800,2024_07_SEA_ATL,ATL,SEA,14,34,7
6801,2024_07_TEN_BUF,BUF,TEN,34,10,7
6802,2024_07_CIN_CLE,CLE,CIN,14,21,7
6803,2024_07_HOU_GB,GB,HOU,24,22,7
6804,2024_07_MIA_IND,IND,MIA,16,10,7
6805,2024_07_DET_MIN,MIN,DET,29,31,7
6806,2024_07_PHI_NYG,NYG,PHI,3,28,7
6807,2024_07_LV_LA,LA,LV,20,15,7
6808,2024_07_CAR_WAS,WAS,CAR,40,7,7
6809,2024_07_KC_SF,SF,KC,18,28,7
6810,2024_07_NYJ_PIT,PIT,NYJ,37,15,7
6811,2024_07_BAL_TB,TB,BAL,31,41,7
6812,2024_07_LAC_ARI,ARI,LAC,17,15,7
6813,2024_08_MIN_LA,LA,MIN,30,20,8
6814,2024_08_PHI_CIN,CIN,PHI,17,37,8
6815,2024_08_BAL_CLE,CLE,BAL,29,24,8
6816,2024_08_TEN_DET,DET,TEN,52,14,8
6817,2024_08_IND_HOU,HOU,IND,23,20,8
6818,2024_08_GB_JAX,JAX,GB,27,30,8
6819,2024_08_ARI_MIA,MIA,ARI,27,28,8
6820,2024_08_NYJ_NE,NE,NYJ,25,22,8
6821,2024_08_ATL_TB,TB,ATL,26,31,8
6822,2024_08_NO_LAC,LAC,NO,26,8,8
6823,2024_08_BUF_SEA,SEA,BUF,10,31,8
6824,2024_08_CAR_DEN,DEN,CAR,28,14,8
6825,2024_08_KC_LV,LV,KC,20,27,8
6826,2024_08_CHI_WAS,WAS,CHI,18,15,8
6827,2024_08_DAL_SF,SF,DAL,30,24,8
6828,2024_08_NYG_PIT,PIT,NYG,26,18,8
6829,2024_09_HOU_NYJ,NYJ,HOU,21,13,9
6830,2024_09_DAL_ATL,ATL,DAL,27,21,9
6831,2024_09_DEN_BAL,BAL,DEN,41,10,9
6832,2024_09_MIA_BUF,BUF,MIA,30,27,9
6833,2024_09_NO_CAR,CAR,NO,23,22,9
6834,2024_09_LV_CIN,CIN,LV,41,24,9
6835,2024_09_LAC_CLE,CLE,LAC,10,27,9
6836,2024_09_WAS_NYG,NYG,WAS,22,27,9
6837,2024_09_NE_TEN,TEN,NE,20,17,9
6838,2024_09_CHI_ARI,ARI,CHI,29,9,9
6839,2024_09_JAX_PHI,PHI,JAX,28,23,9
6840,2024_09_DET_GB,GB,DET,14,24,9
6841,2024_09_LA_SEA,SEA,LA,20,26,9
6842,2024_09_IND_MIN,MIN,IND,21,13,9
6843,2024_09_TB_KC,KC,TB,30,24,9
6844,2024_10_CIN_BAL,BAL,CIN,35,34,10
6845,2024_10_NYG_CAR,CAR,NYG,20,17,10
6846,2024_10_NE_CHI,CHI,NE,3,19,10
6847,2024_10_BUF_IND,IND,BUF,20,30,10
6848,2024_10_MIN_JAX,JAX,MIN,7,12,10
6849,2024_10_DEN_KC,KC,DEN,16,14,10
6850,2024_10_ATL_NO,NO,ATL,20,17,10
6851,2024_10_SF_TB,TB,SF,20,23,10
6852,2024_10_PIT_WAS,WAS,PIT,27,28,10
6853,2024_10_TEN_LAC,LAC,TEN,27,17,10
6854,2024_10_NYJ_ARI,ARI,NYJ,31,6,10
6855,2024_10_PHI_DAL,DAL,PHI,6,34,10
6856,2024_10_DET_HOU,HOU,DET,23,26,10
6857,2024_10_MIA_LA,LA,MIA,15,23,10
6858,2024_11_WAS_PHI,PHI,WAS,26,18,11
6859,2024_11_GB_CHI,CHI,GB,19,20,11
6860,2024_11_JAX_DET,DET,JAX,52,6,11
6861,2024_11_LV_MIA,MIA,LV,34,19,11
6862,2024_11_LA_NE,NE,LA,22,28,11
6863,2024_11_CLE_NO,NO,CLE,35,14,11
6864,2024_11_IND_NYJ,NYJ,IND,27,28,11
6865,2024_11_BAL_PIT,PIT,BAL,18,16,11
6866,2024_11_MIN_TEN,TEN,MIN,13,23,11
6867,2024_11_ATL_DEN,DEN,ATL,38,6,11
6868,2024_11_SEA_SF,SF,SEA,17,20,11
6869,2024_11_KC_BUF,BUF,KC,30,21,11
6870,2024_11_CIN_LAC,LAC,CIN,34,27,11
6871,2024_11_HOU_DAL,DAL,HOU,10,34,11
6872,2024_12_PIT_CLE,CLE,PIT,24,19,12
6873,2024_12_KC_CAR,CAR,KC,27,30,12
6874,2024_12_MIN_CHI,CHI,MIN,27,30,12
6875,2024_12_TEN_HOU,HOU,TEN,27,32,12
6876,2024_12_DET_IND,IND,DET,6,24,12
6877,2024_12_NE_MIA,MIA,NE,34,15,12
6878,2024_12_TB_NYG,NYG,TB,7,30,12
6879,2024_12_DAL_WAS,WAS,DAL,26,34,12
6880,2024_12_DEN_LV,LV,DEN,19,29,12
6881,2024_12_SF_GB,GB,SF,38,10,12
6882,2024_12_ARI_SEA,SEA,ARI,16,6,12
6883,2024_12_PHI_LA,LA,PHI,20,37,12
6884,2024_12_BAL_LAC,LAC,BAL,23,30,12
6885,2024_13_CHI_DET,DET,CHI,23,20,13
6886,2024_13_NYG_DAL,DAL,NYG,27,20,13
6887,2024_13_MIA_GB,GB,MIA,30,17,13
6888,2024_13_LV_KC,KC,LV,19,17,13
6889,2024_13_LAC_ATL,ATL,LAC,13,17,13
6890,2024_13_PIT_CIN,CIN,PIT,38,44,13
6891,2024_13_HOU_JAX,JAX,HOU,20,23,13
6892,2024_13_ARI_MIN,MIN,ARI,23,22,13
6893,2024_13_IND_NE,NE,IND,24,25,13
6894,2024_13_SEA_NYJ,NYJ,SEA,21,26,13
6895,2024_13_TEN_WAS,WAS,TEN,42,19,13
6896,2024_13_TB_CAR,CAR,TB,23,26,13
6897,2024_13_LA_NO,NO,LA,14,21,13
6898,2024_13_PHI_BAL,BAL,PHI,19,24,13
6899,2024_13_SF_BUF,BUF,SF,35,10,13
6900,2024_13_CLE_DEN,DEN,CLE,41,32,13
6901,2024_14_GB_DET,DET,GB,34,31,14
6902,2024_14_NYJ_MIA,MIA,NYJ,32,26,14
6903,2024_14_ATL_MIN,MIN,ATL,42,21,14
6904,2024_14_NO_NYG,NYG,NO,11,14,14
6905,2024_14_CAR_PHI,PHI,CAR,22,16,14
6906,2024_14_CLE_PIT,PIT,CLE,27,14,14
6907,2024_14_LV_TB,TB,LV,28,13,14
6908,2024_14_JAX_TEN,TEN,JAX,6,10,14
6909,2024_14_SEA_ARI,ARI,SEA,18,30,14
6910,2024_14_BUF_LA,LA,BUF,44,42,14
6911,2024_14_CHI_SF,SF,CHI,38,13,14
6912,2024_14_LAC_KC,KC,LAC,19,17,14
6913,2024_14_CIN_DAL,DAL,CIN,20,27,14
6914,2024_15_LA_SF,SF,LA,6,12,15
6915,2024_15_DAL_CAR,CAR,DAL,14,30,15
6916,2024_15_KC_CLE,CLE,KC,7,21,15
6917,2024_15_MIA_HOU,HOU,MIA,20,12,15
6918,2024_15_NYJ_JAX,JAX,NYJ,25,32,15
6919,2024_15_WAS_NO,NO,WAS,19,20,15
6920,2024_15_BAL_NYG,NYG,BAL,14,35,15
6921,2024_15_CIN_TEN,TEN,CIN,27,37,15
6922,2024_15_NE_ARI,ARI,NE,30,17,15
6923,2024_15_IND_DEN,DEN,IND,31,13,15
6924,2024_15_BUF_DET,DET,BUF,42,48,15
6925,2024_15_TB_LAC,LAC,TB,17,40,15
6926,2024_15_PIT_PHI,PHI,PIT,27,13,15
6927,2024_15_GB_SEA,SEA,GB,13,30,15
6928,2024_15_CHI_MIN,MIN,CHI,30,12,15
6929,2024_15_ATL_LV,LV,ATL,9,15,15
6930,2024_16_DEN_LAC,LAC,DEN,34,27,16
6931,2024_16_HOU_KC,KC,HOU,27,19,16
6932,2024_16_PIT_BAL,BAL,PIT,34,17,16
6933,2024_16_NYG_ATL,ATL,NYG,34,7,16
6934,2024_16_ARI_CAR,CAR,ARI,36,30,16
6935,2024_16_DET_CHI,CHI,DET,17,34,16
6936,2024_16_CLE_CIN,CIN,CLE,24,6,16
6937,2024_16_TEN_IND,IND,TEN,38,30,16
6938,2024_16_LA_NYJ,NYJ,LA,9,19,16
6939,2024_16_PHI_WAS,WAS,PHI,36,33,16
6940,2024_16_MIN_SEA,SEA,MIN,24,27,16
6941,2024_16_NE_BUF,BUF,NE,24,21,16
6942,2024_16_JAX_LV,LV,JAX,19,14,16
6943,2024_16_SF_MIA,MIA,SF,29,17,16
6944,2024_16_TB_DAL,DAL,TB,26,24,16
6945,2024_16_NO_GB,GB,NO,34,0,16
6946,2024_17_KC_PIT,PIT,KC,10,29,17
6947,2024_17_BAL_HOU,HOU,BAL,2,31,17
6948,2024_17_SEA_CHI,CHI,SEA,3,6,17
6949,2024_17_LAC_NE,NE,LAC,7,40,17
6950,2024_17_DEN_CIN,CIN,DEN,30,24,17
6951,2024_17_ARI_LA,LA,ARI,13,9,17
6952,2024_17_NYJ_BUF,BUF,NYJ,40,14,17
6953,2024_17_TEN_JAX,JAX,TEN,20,13,17
6954,2024_17_LV_NO,NO,LV,10,25,17
6955,2024_17_IND_NYG,NYG,IND,45,33,17
6956,2024_17_DAL_PHI,PHI,DAL,41,7,17
6957,2024_17_CAR_TB,TB,CAR,48,14,17
6958,2024_17_MIA_CLE,CLE,MIA,3,20,17
6959,2024_17_GB_MIN,MIN,GB,27,25,17
6960,2024_17_ATL_WAS,WAS,ATL,30,24,17
6961,2024_17_DET_SF,SF,DET,34,40,17
6962,2024_18_CLE_BAL,BAL,CLE,35,10,18
6963,2024_18_CIN_PIT,PIT,CIN,17,19,18
6964,2024_18_CAR_ATL,ATL,CAR,38,44,18
6965,2024_18_WAS_DAL,DAL,WAS,19,23,18
6966,2024_18_CHI_GB,GB,CHI,22,24,18
6967,2024_18_JAX_IND,IND,JAX,26,23,18
6968,2024_18_BUF_NE,NE,BUF,23,16,18
6969,2024_18_NYG_PHI,PHI,NYG,20,13,18
6970,2024_18_NO_TB,TB,NO,27,19,18
6971,2024_18_HOU_TEN,TEN,HOU,14,23,18
6972,2024_18_SF_ARI,ARI,SF,47,24,18
6973,2024_18_KC_DEN,DEN,KC,38,0,18
6974,2024_18_SEA_LA,LA,SEA,25,30,18
6975,2024_18_LAC_LV,LV,LAC,20,34,18
6976,2024_18_MIA_NYJ,NYJ,MIA,32,20,18
6977,2024_18_MIN_DET,DET,MIN,31,9,18
6978,2024_19_LAC_HOU,HOU,LAC,32,12,19
6979,2024_19_PIT_BAL,BAL,PIT,28,14,19
6980,2024_19_DEN_BUF,BUF,DEN,31,7,19
6981,2024_19_GB_PHI,PHI,GB,22,10,19
6982,2024_19_WAS_TB,TB,WAS,20,23,19
6983,2024_19_MIN_LA,LA,MIN,27,9,19
6984,2024_20_HOU_KC,KC,HOU,23,14,20
6985,2024_20_WAS_DET,DET,WAS,31,45,20
6986,2024_20_LA_PHI,PHI,LA,28,22,20
6987,2024_20_BAL_BUF,BUF,BAL,27,25,20
6988,2024_21_WAS_PHI,PHI,WAS,55,23,21
6989,2024_21_BUF_KC,KC,BUF,32,29,21
6990,2024_22_KC_PHI,PHI,KC,40,22,22
